MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
DNE21 V.11,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,28271.98989,32373.09867,,34916.7194,,32882.90827,,25427.52758,,16431.54833,,,,,,,,,,
GCAM 2.0,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,34374.027,36740.66843,,34676.3673,,33839.64421,,24383.42255,,13707.55311,,5340.498641,,841.7794088,,-2837.218126,,-6954.31908,,-11045.00869
IMAGE 2.4,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,34245.42,34682.91,,37561.48,,30279.77,,17542.09,,9631.515,,277.3004,,-6520.053,,-8066.272,,-9002.733,,-9046.151
MESSAGE V.3,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,33881.056,34319.91567,,33268.65667,,28048.73133,,21006.73667,,12753.026,,6303.751667,,1509.002,,-3344.465667,,-8702.063333,,-13805.781
REMIND 1.3,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,33691.987,36274.883,32872.94,31008.555,27786.975,23954.279,20313.089,17183.94,14719.56,12469.641,10252.734,8232.934,6216.371,4422.314,3167.588,1784.054,276.496,-1256.476,-2147.46,-299.722
TIAM-World_Mar2012,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,29760.45364,31655.97283,,32672.7356,,32860.30136,,28187.57387,,20912.43812,,15922.91118,,10393.33288,,1865.304692,,-6473.548004,,-7698.06905
TIMES-VTT-2011,AME 2.6 W/m2 OS,World,Emissions|CO2,Mt CO2/yr,32333.9062,33988.96915,,29826.97066,,27195.71219,,21708.07676,,14319.65439,,6685.50483,,2370.605072,,651.5326166,,159.5576716,,289.6229718
DNE21 V.11,AME 3.7 W/m2 NTE,World,Emissions|CO2,Mt CO2/yr,28271.98989,32428.942,,36188.6494,,37930.44161,,33494.01092,,26829.37166,,,,,,,,,,
GCAM 2.0,AME 3.7 W/m2 NTE,World,Emissions|CO2,Mt CO2/yr,34374.027,36740.66843,,37044.42833,,39300.17388,,36739.19154,,25888.31446,,19589.02106,,17173.47064,,14419.41879,,13094.66325,,12691.90071
GRAPE_ver1998,AME 3.7 W/m2 NTE,World,Emissions|CO2,Mt CO2/yr,31226.71854,34405.47039,,31420.77339,,26072.12714,,16782.75967,,12012.43207,,8014.747654,,5107.067965,,2927.027589,,2086.898546,,2244.467622
