MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
DNE21 V.11,AME Reference,World,Emissions|CO2,Mt CO2/yr,28271.98989,33335.012,,41059.26606,,49160.23161,,56777.41758,,58969.97833,,,,,,,,,,
GCAM 2.0,AME Reference,World,Emissions|CO2,Mt CO2/yr,34723.06258,36872.79642,,44108.65068,,49715.42806,,58190.57347,,66907.27214,,71100.75818,,74470.36641,,78077.68728,,79804.7244,,81995.93916
GRAPE_ver1998,AME Reference,World,Emissions|CO2,Mt CO2/yr,31232.22853,34416.49037,,42020.77638,,47889.94704,,51410.96243,,54192.98791,,54916.45381,,57115.9293,,58897.53838,,62067.83008,,65355.88982
GTEMREF32,AME Reference,World,Emissions|CO2,Mt CO2/yr,31612.1647,35636.69705,,47007.38995,,61205.59137,,73263.99298,,83507.20239,,90941.26422,,97604.05609,,104017.5049,,111056.1978,,117750.716
IMAGE 2.4,AME Reference,World,Emissions|CO2,Mt CO2/yr,34245.42,34687.59,,41679.73,,43676.29,,46108.74,,49568.89,,55829.61,,62345.77,,68764.72,,73951.22,,77508.21
MARIA23_org,AME Reference,World,Emissions|CO2,Mt CO2/yr,27831.99604,30721.90055,,36154.87795,,41507.72934,,48164.57593,,53772.72087,,56939.73965,,58426.31007,,60034.33243,,64340.88787,,75112.711
MERGE_AME,AME Reference,World,Emissions|CO2,Mt CO2/yr,,32415.797,,37526.18015,,45870.11657,,56351.64897,,67645.36739,,79163.92415,,91057.82324,,103807.6074,,112137.6605,,119900.2531
MESSAGE V.3,AME Reference,World,Emissions|CO2,Mt CO2/yr,33882.22933,34322.08267,,42369.45167,,48273.08567,,55630.93433,,64103.64033,,71455.56367,,75323.92633,,76454.906,,75251.11,,72622.209
REMIND 1.3,AME Reference,World,Emissions|CO2,Mt CO2/yr,33691.987,36274.883,43245.275,50532.963,56455.47,61566.802,66057.011,70185.403,73768.06,76563.75,78166.261,78756.422,78520.1,77567.213,76443.273,75123.063,73924.189,72689.036,71350.61,69864.276
TIAM-World_Mar2012,AME Reference,World,Emissions|CO2,Mt CO2/yr,29760.45364,32524.35055,,37630.84282,,44483.61043,,51590.68965,,58966.07266,,65381.82047,,70259.44189,,74341.05866,,76801.89312,,78185.39372
TIMES-VTT-2011,AME Reference,World,Emissions|CO2,Mt CO2/yr,32585.83827,34293.68397,,38732.15599,,42065.19088,,46981.4719,,51875.46197,,56604.62528,,60842.14426,,65088.43735,,71188.17907,,73399.13466
WITCH_AME,AME Reference,World,Emissions|CO2,Mt CO2/yr,33617.14612,33937.8267,,38254.59213,,45231.04529,,52879.96199,,60366.66022,,68265.84704,,74317.17469,,78446.18419,,80757.11738,,81423.92808
DNE21 V.12,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33645.65294,38859.6157,43502.08758,48937.64449,54384.61056,58986.00157,,68758.67191,,71274.09304,,,,,,,,,,
GCAM 3.0,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31473.40134,31534.83934,36737.08123,42317.32448,47958.84401,53124.93397,58099.49598,62591.68555,67055.52144,71694.32298,74044.65166,76544.16845,78895.57512,80062.25123,81035.57939,81611.26499,82057.06473,82412.37476,82953.05035,83493.72594
IMACLIM v1.1,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29490,35080,42560,50150,58310,67100,74350,80320,85970,91770,,103500,,114700,,125200,,136400,,145400
IMAGE 2.4,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34421.02669,35591.13737,38175.17057,43162.6071,47272.17057,49520.05566,53847.23796,54307.03581,58729.25781,62469.29362,,67273.57943,,71441.95638,,79648.54362,,88014.99609,,96101.90104
MERGE-ETL_2011,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,51212.54,,65369.02,,73371.36,,88121.83,,100424.42,,116327.41,,125706.45,,136696.63,,150377.28
MESSAGE V.4,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,43625.61133,,50906.394,,58900.699,,66308.80667,,71752.516,,74722.87167,,78738.30433,,80832.56867,,83847.01967
POLES AMPERE,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,29207.968,31757.568,,41710.46,,50673.704,,57217.296,,61758.944,,65747.708,,69440.096,,72805.816,,76761.112,,79596.744
REMIND 1.5,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33841.491,37377.78,41182.111,45097.858,48848.037,51959.297,55502.518,60564.977,66563.985,73360.425,,83778.323,,87629.912,,84134.748,,74159.898,,65788.247
WITCH_AMPERE,AMPERE2-Base-FullTech-OPT,World,Emissions|CO2,Mt CO2/yr,33606.03819,37348.84991,41210.90295,45518.90846,49716.01221,53761.95594,57562.79893,61288.23783,65038.4332,68277.71167,71209.87134,73920.94466,76280.70134,78879.87375,81151.52357,83270.5046,85342.22258,87435.38662,89358.37963,91147.32652
DNE21 V.12,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33645.65294,38899.03237,42445.20758,46448.01449,50355.09056,54221.5349,,63029.10191,,65559.59304,,,,,,,,,,
GCAM 3.0,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,31473.2625,31678.58351,37126.89572,43204.90265,49331.64846,55017.44972,60617.89879,65688.67963,70768.05937,76062.72313,79042.7873,82126.44068,84984.27087,86772.32173,88332.26043,89458.83022,90461.77696,92272.21037,94016.37883,95760.54729
GEM-E3-ICCS,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29007.68248,31284.99312,34362.58195,40606.13517,46338.46427,49967.25453,54311.7918,59804.03695,65641.94828,70166.73799,,,,,,,,,,
IMACLIM v1.1,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29300,34600,41100,46700,51200,54400,55500,55200,54600,54700,,55900,,58300,,61900,,66000,,69300
IMAGE 2.4,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,34421.02669,35591.13737,38175.17057,43162.6071,47272.17057,49520.05566,53847.23796,54307.03581,58729.25781,62469.29362,,67273.57943,,71441.95638,,79648.54362,,88014.99609,,96101.90104
MERGE-ETL_2011,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,31814.76,35401.68,,51212.54,,65369.02,,73371.36,,88121.83,,100424.42,,116327.41,,125706.45,,136696.63,,150377.28
MESSAGE V.4,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,34468.104,36076.63033,,43625.61133,,50906.394,,58900.699,,66308.80667,,71752.516,,74722.87167,,78738.30433,,80832.56867,,83847.01967
POLES AMPERE,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,29207.968,31730.812,,41444.82,,50443.28,,57377.624,,62487.156,,66988.192,,71072.824,,75083.4,,78285.04,,80271.656
REMIND 1.5,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33841.491,37381.714,41225.918,44969.869,48773.88,51942.674,55457.414,60626.38,66721.487,73523.404,,83712.833,,87510.855,,83958.154,,73482.201,,64759.689
WITCH_AMPERE,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,33606.03819,37348.84991,41210.90295,45518.90846,49716.01221,53761.95594,57562.79893,61288.23783,65038.4332,68277.71167,71209.87134,73920.94466,76280.70134,78879.87375,81151.52357,83270.5046,85342.22258,87435.38662,89358.37963,91147.32652
WorldScan2,AMPERE3-Base,World,Emissions|CO2,Mt CO2/yr,35170.29004,36776.45093,,40877.58866,,45311.73216,,54082.90423,,62660.74863,,,,,,,,,,
IMAGE 2.4 EMF22,EMF22 Reference,World,Emissions|CO2,Mt CO2/yr,,34698.701,,39983.018,,40613.2739,,44686.902,,46690.326,,48264.476,,51314.176,,53454.2635,,56459.8604,,59381.3254
